ow,Anon Student Id,Problem Hierarchy,Problem Name,Problem View,Step Name,Step Start Time,First Transaction Time,Correct Transaction Time,Step End Time,Step Duration (sec),Correct Step Duration (sec),Error Step Duration (sec),Correct First Attempt,Incorrects,Hints,Corrects,KC(Default),Opportunity(Default),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0BrbPbwCMz,Unit ES_04, Section ES_04-2,EG40,1,-7-3x = -2,29:41.0,30:27.0,30:27.0,30:27.0,46,46,,1,0,0,1,[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]~~[SkillRule: ax+b=c, negative; ax+b=c, negative],6~~3,,,,,,,,,,,,,,,,
12,0BrbPbwCMz,Unit ES_04, Section ES_04-2,EG40,1,-7-3x+7 = -2+7,30:27.0,30:34.0,30:45.0,30:49.0,22,,22,0,1,0,2,[SkillRule: Add/Subtract; [Typein Skill: {Isolate positive; Isolate negative; Remove constant; Consolidate vars, no coeff; Consolidate vars with coeff; Consolidate vars, any}]],1,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0BrbPbwCMz,Unit ES_04, Section ES_04-2,EG40,1,-3x = 5,30:49.0,31:04.0,31:04.0,31:04.0,15,15,,1,0,0,1,[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}]~~[SkillRule: Remove negative coefficient; {ax/b=c, reciprocal; ax/b=c; ax=b; x/a=b}],5~~3,,,,,,,,,,,,,,,,,,,
14,0BrbPbwCMz,Unit ES_04, Section ES_04-2,EG40,1,-3x/-3 = 5/-3,31:04.0,31:07.0,31:07.0,31:12.0,8,8,,1,0,0,2,[SkillRule: Multiply/Divide; [Typein Skill: {Remove coefficient; Variable in denominator}]],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0BrbPbwCMz,Unit ES_04, Section ES_04-2,EG40,2,-9 = 8y+9,31:16.0,31:29.0,31:29.0,31:29.0,13,13,,1,0,0,1,[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}],7,,,,,,,,,,,,,,,,,,
16,0BrbPbwCMz,Unit ES_04, Section ES_04-2,EG40,2,-9-9 = 8y+9-9,31:29.0,31:32.0,31:32.0,31:39.0,10,10,,1,0,0,2,[SkillRule: Add/Subtract; [Typein Skill: {Isolate positive; Isolate negative; Remove constant; Consolidate vars, no coeff; Consolidate vars with coeff; Consolidate vars, any}]],2,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0BrbPbwCMz,Unit ES_04, Section ES_04-2,EG40,2,-18 = 8y,31:39.0,31:44.0,31:44.0,31:44.0,5,5,,1,0,0,1,[SkillRule: Remove positive coefficient; {ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b}]~~[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}],3~~6,,,,,,,,,,,,,,,,,,,
18,0BrbPbwCMz,Unit ES_04, Section ES_04-2,EG40,2,-18/8 = 8y/8,31:44.0,31:46.0,31:46.0,32:56.0,72,72,,1,2,0,2,[SkillRule: Multiply/Divide; [Typein Skill: {Remove coefficient; Variable in denominator}]],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0BrbPbwCMz,Unit ES_04, Section ES_04-2,EG40,3,-2-2x = 9,33:01.0,33:22.0,33:32.0,33:32.0,31,,31,0,1,0,1,[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]~~[SkillRule: ax+b=c, negative; ax+b=c, negative],8~~4,,,,,,,,,,,,,,,,
20,0BrbPbwCMz,Unit ES_04, Section ES_04-2,EG40,3,-2-2x+2 = 9+2,33:32.0,33:37.0,33:37.0,33:40.0,8,8,,1,0,0,2,[SkillRule: Add/Subtract; [Typein Skill: {Isolate positive; Isolate negative; Remove constant; Consolidate vars, no coeff; Consolidate vars with coeff; Consolidate vars, any}]],3,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0BrbPbwCMz,Unit ES_04, Section ES_04-2,EG40,3,-2x = 11,33:40.0,33:46.0,33:46.0,33:46.0,6,6,,1,0,0,1,[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}]~~[SkillRule: Remove negative coefficient; {ax/b=c, reciprocal; ax/b=c; ax=b; x/a=b}],7~~4,,,,,,,,,,,,,,,,,,,
22,0BrbPbwCMz,Unit ES_04, Section ES_04-2,EG40,3,-2x/-2 = 11/-2,33:46.0,33:51.0,33:51.0,33:55.0,9,9,,1,0,0,2,[SkillRule: Multiply/Divide; [Typein Skill: {Remove coefficient; Variable in denominator}]],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0BrbPbwCMz,Unit ES_04, Section ES_04-2,EG40,4,4+4y = -6,33:59.0,34:06.0,34:06.0,34:06.0,7,7,,1,0,0,1,[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}],9,,,,,,,,,,,,,,,,,,
24,0BrbPbwCMz,Unit ES_04, Section ES_04-2,EG40,4,4+4y-4 = -6-4,34:06.0,34:09.0,34:09.0,34:17.0,11,11,,1,0,0,2,[SkillRule: Add/Subtract; [Typein Skill: {Isolate positive; Isolate negative; Remove constant; Consolidate vars, no coeff; Consolidate vars with coeff; Consolidate vars, any}]],4,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0BrbPbwCMz,Unit ES_04, Section ES_04-2,EG40,4,4y = -6-4,34:17.0,34:25.0,34:25.0,34:25.0,8,8,,1,0,0,1,[SkillRule: Consolidate vars with coeff; CLT],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0BrbPbwCMz,Unit ES_04, Section ES_04-2,EG40,4,FinalAnswer,34:25.0,34:29.0,34:33.0,34:33.0,8,,8,0,1,0,1,combine-like-terms-sp,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0BrbPbwCMz,Unit ES_04, Section ES_04-2,EG40,4,4y = -10,34:33.0,34:42.0,34:42.0,34:42.0,9,9,,1,0,0,1,[SkillRule: Remove positive coefficient; {ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b}]~~[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}],4~~8,,,,,,,,,,,,,,,,,,,
28,0BrbPbwCMz,Unit ES_04, Section ES_04-2,EG40,4,4y/4 = -10/4,34:42.0,34:46.0,34:46.0,35:02.0,20,20,,1,0,0,2,[SkillRule: Multiply/Divide; [Typein Skill: {Remove coefficient; Variable in denominator}]],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0BrbPbwCMz,Unit ES_04, Section ES_04-3,EG54,1,-7 = -5(y+7),35:08.0,36:27.0,37:01.0,37:01.0,113,,113,0,2,3,1,[SkillRule: Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; (+/-x +/-a)/b=c, mult; (+/-x +/-a)*b=c, div; [var expr]/[const expr] = [const expr], multiply; Distribute Division left; Distribute Division right; Distribute both mult left; Distribute both mult right; Distribute both divide left; Distribute both divide right; Distribute subex}],2,,,,,,,,,,,,,,,,,,,,,,,,
30,0BrbPbwCMz,Unit ES_04, Section ES_04-3,EG54,1,7/5 = y+7,37:01.0,37:09.0,37:09.0,37:09.0,8,8,,1,0,0,1,[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}],10,,,,,,,,,,,,,,,,,,
31,0BrbPbwCMz,Unit ES_04, Section ES_04-3,EG54,2,-7(x+9) = -5,37:17.0,38:15.0,38:15.0,38:15.0,58,58,,1,0,0,1,[SkillRule: Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; (+/-x +/-a)/b=c, mult; (+/-x +/-a)*b=c, div; [var expr]/[const expr] = [const expr], multiply; Distribute Division left; Distribute Division right; Distribute both mult left; Distribute both mult right; Distribute both divide left; Distribute both divide right; Distribute subex}],3,,,,,,,,,,,,,,,,,,,,,,,,
32,0BrbPbwCMz,Unit ES_04, Section ES_04-3,EG54,2,x+9 = 5/7,38:15.0,38:21.0,38:21.0,38:21.0,6,6,,1,0,0,1,[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}],11,,,,,,,,,,,,,,,,,,
33,0BrbPbwCMz,Unit ES_04, Section ES_04-3,EG54,3,5 = 8(y+1),38:25.0,38:33.0,38:33.0,38:33.0,8,8,,1,0,0,1,[SkillRule: Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; (+/-x +/-a)/b=c, mult; (+/-x +/-a)*b=c, div; [var expr]/[const expr] = [const expr], multiply; Distribute Division left; Distribute Division right; Distribute both mult left; Distribute both mult right; Distribute both divide left; Distribute both divide right; Distribute subex}],4,,,,,,,,,,,,,,,,,,,,,,,,
34,0BrbPbwCMz,Unit ES_04, Section ES_04-3,EG54,3,5/8 = y+1,38:33.0,38:40.0,38:40.0,38:40.0,7,7,,1,0,0,1,[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}],12,,,,,,,,,,,,,,,,,,
35,0BrbPbwCMz,Unit ES_04, Section ES_04-3,EG54,4,0 = -3(x-5),38:44.0,38:49.0,38:49.0,38:49.0,5,5,,1,0,0,1,[SkillRule: Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; (+/-x +/-a)/b=c, mult; (+/-x +/-a)*b=c, div; [var expr]/[const expr] = [const expr], multiply; Distribute Division left; Distribute Division right; Distribute both mult left; Distribute both mult right; Distribute both divide left; Distribute both divide right; Distribute subex}],5,,,,,,,,,,,,,,,,,,,,,,,,
36,0BrbPbwCMz,Unit ES_04, Section ES_04-3,EG54,4,0 = x-5,38:49.0,38:56.0,38:56.0,38:56.0,7,7,,1,0,0,1,[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]~~[SkillRule: Isolate negative; x+a=b, negative],13~~1,,,,,,,,,,,,,,,,,
37,0BrbPbwCMz,Unit ES_04, Section ES_04-4,EG54,1,-5(y-10) = 3,39:01.0,39:07.0,39:07.0,39:07.0,6,6,,1,0,0,1,[SkillRule: Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; (+/-x +/-a)/b=c, mult; (+/-x +/-a)*b=c, div; [var expr]/[const expr] = [const expr], multiply; Distribute Division left; Distribute Division right; Distribute both mult left; Distribute both mult right; Distribute both divide left; Distribute both divide right; Distribute subex}],6,,,,,,,,,,,,,,,,,,,,,,,,
38,0BrbPbwCMz,Unit ES_04, Section ES_04-4,EG54,1,-5(y-10)/-5 = 3/-5,39:07.0,39:13.0,39:13.0,39:18.0,11,11,,1,0,0,2,[SkillRule: Calculate Eliminate Parens; [Typein Skill: Eliminate Parens]],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0BrbPbwCMz,Unit ES_04, Section ES_04-4,EG54,1,y-10 = 3/-5,39:18.0,39:26.0,39:26.0,39:26.0,8,8,,1,0,0,1,[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}],14,,,,,,,,,,,,,,,,,,
40,0BrbPbwCMz,Unit ES_04, Section ES_04-4,EG54,1,y-10+10 = 3/-5+10,39:26.0,39:29.0,39:29.0,39:36.0,10,10,,1,0,0,2,[SkillRule: Add/Subtract; [Typein Skill: {Isolate positive; Isolate negative; Remove constant; Consolidate vars, no coeff; Consolidate vars with coeff; Consolidate vars, any}]],5,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0BrbPbwCMz,Unit ES_04, Section ES_04-4,EG54,1,y = 3/-5+10,39:36.0,39:44.0,40:14.0,40:14.0,38,,38,0,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0BrbPbwCMz,Unit ES_04, Section ES_04-4,EG54,1,FinalAnswer,40:14.0,40:36.0,40:36.0,41:14.0,39,39,,1,0,0,2,simplify-fractions-sp~~combine-like-terms-sp,1~~2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0BrbPbwCMz,Unit ES_04, Section ES_04-4,EG54,1,y = -3/5+10,40:36.0,40:57.0,40:57.0,40:57.0,21,21,,1,0,0,1,[SkillRule: Consolidate vars, no coeff; CLT],1,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0BrbPbwCMz,Unit ES_04, Section ES_04-4,EG54,2,4(x-4) = -8,41:48.0,42:13.0,42:13.0,42:13.0,25,25,,1,0,0,1,[SkillRule: Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; (+/-x +/-a)/b=c, mult; (+/-x +/-a)*b=c, div; [var expr]/[const expr] = [const expr], multiply; Distribute Division left; Distribute Division right; Distribute both mult left; Distribute both mult right; Distribute both divide left; Distribute both divide right; Distribute subex}],7,,,,,,,,,,,,,,,,,,,,,,,,
45,0BrbPbwCMz,Unit ES_04, Section ES_04-4,EG54,2,4(x-4)/4 = -8/4,42:13.0,42:18.0,42:18.0,42:23.0,10,10,,1,0,0,2,[SkillRule: Calculate Eliminate Parens; [Typein Skill: Eliminate Parens]],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0BrbPbwCMz,Unit ES_04, Section ES_04-4,EG54,2,x-4 = -8/4,42:23.0,42:32.0,42:32.0,42:32.0,9,9,,1,0,0,1,[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}],15,,,,,,,,,,,,,,,,,,
47,0BrbPbwCMz,Unit ES_04, Section ES_04-4,EG54,2,x-4+4 = -8/4+4,42:32.0,42:35.0,42:35.0,42:55.0,23,23,,1,0,0,2,[SkillRule: Add/Subtract; [Typein Skill: {Isolate positive; Isolate negative; Remove constant; Consolidate vars, no coeff; Consolidate vars with coeff; Consolidate vars, any}]],6,,,,,,,,,,,,,,,,,,,,,,,,,,
48,0BrbPbwCMz,Unit ES_04, Section ES_04-4,EG54,2,x = -8/4+4,42:55.0,43:02.0,43:02.0,43:02.0,7,7,,1,0,0,1,[SkillRule: Consolidate vars, no coeff; CLT],2,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,0BrbPbwCMz,Unit ES_04, Section ES_04-4,EG54,2,FinalAnswer,43:02.0,43:25.0,43:25.0,43:25.0,23,23,,1,0,0,1,simplify-fractions-sp~~combine-like-terms-sp,2~~3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,0BrbPbwCMz,Unit ES_04, Section ES_04-4,EG54,3,5 = 4(x-3),43:34.0,43:41.0,43:41.0,43:41.0,7,7,,1,0,0,1,[SkillRule: Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; (+/-x +/-a)/b=c, mult; (+/-x +/-a)*b=c, div; [var expr]/[const expr] = [const expr], multiply; Distribute Division left; Distribute Division right; Distribute both mult left; Distribute both mult right; Distribute both divide left; Distribute both divide right; Distribute subex}],8,,,,,,,,,,,,,,,,,,,,,,,,
51,0BrbPbwCMz,Unit ES_04, Section ES_04-4,EG54,3,5/4 = 4(x-3)/4,43:41.0,43:45.0,43:45.0,43:49.0,8,8,,1,0,0,2,[SkillRule: Calculate Eliminate Parens; [Typein Skill: Eliminate Parens]],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,0BrbPbwCMz,Unit ES_04, Section ES_04-4,EG54,3,5/4 = x-3,43:49.0,44:09.0,44:09.0,44:09.0,20,20,,1,0,0,1,[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}],16,,,,,,,,,,,,,,,,,,
53,0BrbPbwCMz,Unit ES_04, Section ES_04-4,EG54,3,5/4+3 = x-3+3,44:09.0,44:12.0,44:12.0,44:19.0,10,10,,1,0,0,2,[SkillRule: Add/Subtract; [Typein Skill: {Isolate positive; Isolate negative; Remove constant; Consolidate vars, no coeff; Consolidate vars with coeff; Consolidate vars, any}]],7,,,,,,,,,,,,,,,,,,,,,,,,,,
54,0BrbPbwCMz,Unit ES_04, Section ES_04-4,EG54,3,5/4+3 = x,44:19.0,44:35.0,44:35.0,44:35.0,16,16,,1,0,0,1,[SkillRule: Consolidate vars, no coeff; CLT],3,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,0BrbPbwCMz,Unit ES_04, Section ES_04-4,EG54,3,FinalAnswer,44:35.0,44:48.0,44:48.0,44:48.0,13,13,,1,0,0,1,simplify-fractions-sp~~combine-like-terms-sp,3~~4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,0BrbPbwCMz,Unit ES_04, Section ES_04-5,EG55A,1,0.1 = -42.3(y-83.7),44:58.0,45:42.0,45:42.0,45:42.0,44,44,,1,0,0,1,[SkillRule: Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; (+/-x +/-a)/b=c, mult; (+/-x +/-a)*b=c, div; [var expr]/[const expr] = [const expr], multiply; Distribute Division left; Distribute Division right; Distribute both mult left; Distribute both mult right; Distribute both divide left; Distribute both divide right; Distribute subex}],9,,,,,,,,,,,,,,,,,,,,,,,,
